City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,belmonte,-15.8631,-38.8828,23.71,87,98,6.64,BR,1723390078
1,portland,45.5234,-122.6762,18.46,83,100,3.09,US,1723390079
2,thompson,55.7435,-97.8558,21.09,60,0,1.03,CA,1723390080
3,askoy,60.4092,5.226,15.16,67,40,4.63,NO,1723390082
4,kingston,17.997,-76.7936,33.42,66,20,2.57,JM,1723390083
5,turbat,26.0023,63.044,30.97,63,11,6.79,PK,1723390085
6,waitangi,-43.9535,-176.5597,8.79,86,11,1.79,NZ,1723390086
7,jamestown,42.097,-79.2353,18.8,82,40,4.63,US,1723390057
8,dudinka,69.4058,86.1778,17.2,45,85,8.8,RU,1723390088
9,yellowknife,62.456,-114.3525,20.23,82,40,3.6,CA,1723390089
10,port mathurin,-19.6833,63.4167,22.17,74,68,11.14,MU,1723390090
11,grytviken,-54.2811,-36.5092,-9.76,57,19,1.02,GS,1723390091
12,solnechnyy,50.7214,136.6319,15.74,93,100,1.17,RU,1723390092
13,nuku'alofa,-21.1333,-175.2,17.19,88,20,3.09,TO,1723390093
14,edinburgh of the seven seas,-37.0676,-12.3116,14.99,92,100,13.87,SH,1723389915
15,wailua homesteads,22.0669,-159.378,25.44,89,75,7.2,US,1723390095
16,adamstown,-25.066,-130.1015,18.14,65,15,8.83,PN,1723390096
17,anadyr,64.75,177.4833,6.28,75,0,12.0,RU,1723390097
18,hermanus,-34.4187,19.2345,13.21,79,100,7.83,ZA,1723390098
19,citra,34.7965,-96.3764,21.41,97,100,4.17,US,1723390099
20,puerto natales,-51.7236,-72.4875,5.25,75,0,1.54,CL,1723390101
21,la serena,-29.9078,-71.2542,15.99,100,75,4.63,CL,1723390088
22,port lincoln,-34.7333,135.8667,13.46,63,0,4.38,AU,1723390103
23,lorengau,-2.0226,147.2712,26.94,81,100,2.14,PG,1723390104
24,georgetown,5.4112,100.3354,26.96,78,40,2.06,MY,1723389834
25,labrador city,52.9463,-66.9114,16.95,77,75,0.0,CA,1723390106
26,lazaro cardenas,17.9583,-102.2,26.58,79,99,0.38,MX,1723389984
27,sittwe,20.15,92.9,27.9,86,99,1.41,MM,1723390108
28,hawaiian paradise park,19.5933,-154.9731,21.73,99,75,2.57,US,1723390109
29,badger,64.8,-147.5333,10.93,86,100,0.0,US,1723390110
30,plyeshchanitsy,54.4222,27.8331,18.42,61,1,6.21,BY,1723390111
31,lompoc,34.6391,-120.4579,13.4,100,0,2.06,US,1723390112
32,east london,-33.0153,27.9116,17.52,72,75,4.63,ZA,1723390113
33,happy valley-goose bay,53.3168,-60.3315,22.17,56,20,2.06,CA,1723390114
34,fale old settlement,-9.3852,-171.2468,27.99,72,16,8.03,TK,1723390115
35,ribeira grande,38.5167,-28.7,26.22,53,40,7.72,PT,1723390116
36,tiksi,71.6872,128.8694,0.3,99,100,4.95,RU,1723390117
37,bilibino,68.0546,166.4372,3.48,99,100,3.69,RU,1723390118
38,flin flon,54.7682,-101.865,20.91,64,100,1.54,CA,1723390120
39,yeniseysk,58.4497,92.1703,13.27,95,93,3.05,RU,1723390121
40,margaret river,-33.95,115.0667,15.5,72,24,10.63,AU,1723390123
41,syktyvkar,61.6764,50.8099,18.85,63,40,2.0,RU,1723390124
42,antsiranana,-12.2787,49.2917,25.42,65,40,5.14,MG,1723390125
43,persianovka,47.5297,39.4183,33.1,22,3,5.17,RU,1723390126
44,remire-montjoly,4.9167,-52.2667,32.02,66,75,2.06,GF,1723390084
45,port-aux-francais,-49.35,70.2167,4.46,86,62,9.93,TF,1723390128
46,taoudenni,22.6783,-3.9836,45.98,6,0,4.03,ML,1723390129
47,fort irwin,35.2627,-116.6848,30.74,16,0,2.57,US,1723390130
48,bethel,41.3712,-73.414,25.89,58,100,0.45,US,1723390131
49,albany,42.6001,-73.9662,23.52,66,69,2.44,US,1723389879
50,khovd,48.0056,91.6419,23.08,28,81,1.91,MN,1723390133
51,blackmans bay,-43.0167,147.3167,8.62,87,20,1.34,AU,1723390134
52,la'ie,21.6477,-157.9253,25.06,82,9,3.13,US,1723390135
53,cheboksary,56.1322,47.2519,19.33,82,20,4.0,RU,1723390136
54,ilhabela,-23.7781,-45.3581,19.06,50,18,2.09,BR,1723390138
55,kununurra,-15.7667,128.7333,15.99,67,92,1.54,AU,1723390139
56,marmaris,36.855,28.2742,31.96,42,0,2.77,TR,1723390140
57,tazovsky,67.4667,78.7,12.93,68,100,3.76,RU,1723390141
58,olonkinbyen,70.9221,-8.7187,2.81,96,83,7.53,SJ,1723390142
59,hovd,48.0056,91.6419,23.08,28,81,1.91,MN,1723390143
60,tocopilla,-22.092,-70.1979,18.97,63,100,4.34,CL,1723390114
61,prince george,53.9166,-122.753,14.69,82,0,1.54,CA,1723389890
62,west island,-12.1568,96.8225,26.99,74,20,5.14,CC,1723390146
63,vernon,50.2581,-119.2691,20.25,54,70,3.09,CA,1723390147
64,iskateley,67.6803,53.1512,18.2,62,63,3.26,RU,1723390148
65,simplicio mendes,-7.8539,-41.9103,37.98,20,10,1.65,BR,1723390150
66,crane,31.3974,-102.3501,28.88,51,1,8.26,US,1723390151
67,camana,-16.6228,-72.7111,16.93,76,78,4.1,PE,1723390152
68,longyearbyen,78.2186,15.6401,18.91,48,0,6.17,SJ,1723390154
69,punta arenas,-53.15,-70.9167,5.06,87,0,5.14,CL,1723390155
70,utrik,11.2278,169.8474,28.23,77,99,7.6,MH,1723390156
71,port elizabeth,-33.918,25.5701,16.16,75,20,12.86,ZA,1723390157
72,whitehorse,60.7161,-135.0538,12.43,54,100,4.63,CA,1723389892
73,san antonio de pale,-1.4014,5.6325,23.14,85,26,3.83,GQ,1723390159
74,klyuchi,52.2667,79.1667,14.91,56,57,1.76,RU,1723390160
75,sitka,57.0531,-135.33,11.94,76,20,2.57,US,1723390161
76,aktau,43.65,51.2,26.84,58,100,7.31,KZ,1723390162
77,invercargill,-46.4,168.35,9.45,85,83,5.36,NZ,1723390163
78,kristiansund,63.1115,7.732,12.85,82,75,11.32,NO,1723390164
79,iqaluit,63.7506,-68.5145,12.85,62,20,7.2,CA,1723390165
80,mount gambier,-37.8333,140.7667,8.1,77,42,3.39,AU,1723390166
81,pachperwa,27.5167,82.65,27.37,90,100,2.95,IN,1723390167
82,manakara,-22.1333,48.0167,22.43,76,9,5.59,MG,1723390168
83,college,64.8569,-147.8028,10.97,83,100,0.0,US,1723390169
84,kailua-kona,19.6406,-155.9956,23.98,81,0,2.57,US,1723390170
85,minas de marcona,-15.2119,-75.1103,13.28,68,88,6.09,PE,1723390171
86,laguna,38.421,-121.4238,19.56,71,0,1.54,US,1723390173
87,carnarvon,-24.8667,113.6333,19.91,84,10,3.94,AU,1723390174
88,pervomayskoye,43.919,46.7102,31.7,30,88,6.99,RU,1723390175
89,coahuayana de hidalgo,18.7,-103.6583,28.35,67,99,0.44,MX,1723390176
90,muscatine,41.4667,-91.1335,22.08,47,0,1.54,US,1723390177
91,sarikei,2.1167,111.5167,23.35,100,100,1.05,MY,1723390178
92,sinabang,2.4803,96.3801,24.5,89,100,2.27,ID,1723390179
93,stanley,54.868,-1.6985,21.4,62,0,4.63,GB,1723390180
94,farafangana,-22.8167,47.8333,22.49,76,25,6.06,MG,1723390181
95,nar'yan-mar,67.6713,53.087,18.43,61,61,3.29,RU,1723390182
96,bredasdorp,-34.5322,20.0403,12.62,78,100,7.86,ZA,1723390183
97,papatowai,-46.5619,169.4708,9.2,87,97,7.75,NZ,1723390184
98,kodiak,57.79,-152.4072,10.73,93,40,2.57,US,1723390186
99,susuman,62.7833,148.1667,10.56,89,98,1.38,RU,1723390187
100,val-d'or,48.1002,-77.7828,16.05,82,100,3.09,CA,1723390188
101,avarua,-21.2078,-159.775,16.03,88,20,1.54,CK,1723390189
102,tarawa,1.419,172.984,29.05,74,20,2.57,KI,1723390191
103,petropavlovsk-kamchatsky,53.0452,158.6483,7.33,100,20,2.0,RU,1723390192
104,nemuro,43.3236,145.575,15.74,99,100,3.7,JP,1723390193
105,novyy urengoy,66.0833,76.6333,12.4,92,100,3.77,RU,1723390194
106,hamilton,39.1834,-84.5333,23.76,54,20,4.63,US,1723390195
107,colonia,50.9333,6.95,31.09,34,0,2.06,DE,1723390196
108,alice springs,-23.7,133.8833,7.75,61,0,2.06,AU,1723390197
109,wuxi,31.5689,120.2886,27.72,87,100,1.47,CN,1723390129
110,port macquarie,-31.4333,152.9167,13.93,98,70,0.89,AU,1723390199
111,huarmey,-10.0681,-78.1522,18.87,73,59,3.31,PE,1723390200
112,tolanaro,-25.0319,46.9987,23.04,78,0,9.77,MG,1723390201
113,polyarnyy,69.1989,33.4478,18.13,57,63,6.55,RU,1723390202
114,acapulco de juarez,16.8634,-99.8901,30.9,70,40,0.0,MX,1723389983
115,kuruman,-27.4524,23.4325,15.78,16,40,5.5,ZA,1723390204
116,san patricio,28.017,-97.5169,32.86,49,64,2.35,US,1723390205
117,faya-largeau,17.9257,19.1043,35.42,39,80,3.63,TD,1723390206
118,beira,-19.8436,34.8389,26.05,78,0,4.63,MZ,1723390207
119,pioner,55.3166,85.9508,16.69,88,0,3.0,RU,1723390208
120,al jawf,29.5,38.75,34.66,7,0,5.37,SA,1723390210
121,porto novo,6.4965,2.6036,27.8,66,89,5.41,BJ,1723390211
122,ust-nera,64.5667,143.2,14.84,65,97,2.85,RU,1723390212
123,sarykemer,43.0,71.5,25.76,27,14,3.97,KZ,1723390213
124,nicoya,10.1483,-85.452,28.36,75,74,1.74,CR,1723389984
125,shingu,33.7333,135.9833,25.7,82,95,2.16,JP,1723390215
126,masinloc,15.5333,120.05,21.23,93,52,1.61,PH,1723390216
127,qaqortoq,60.7167,-46.0333,7.16,87,100,6.12,GL,1723390217
128,kimberley,-28.7323,24.7623,20.83,43,0,5.14,ZA,1723390218
129,labytnangi,66.6572,66.4183,16.67,54,100,6.13,RU,1723390219
130,matara,5.9485,80.5353,26.11,87,98,4.17,LK,1723390220
131,broken hill,-31.95,141.4333,12.56,67,0,4.14,AU,1723390221
132,sisimiut,66.9395,-53.6735,7.96,78,99,1.84,GL,1723390222
133,bengkulu,-3.8004,102.2655,24.71,93,95,3.55,ID,1723390223
134,jutai,-5.1833,-68.9,31.97,38,83,1.56,BR,1723390225
135,abu jibeha,11.4562,31.2285,24.52,86,100,1.65,SD,1723390226
136,mangalia,43.8,28.5833,26.66,62,0,3.92,RO,1723390227
137,alofi,-19.0595,-169.9187,14.94,88,78,1.03,NU,1723390228
138,santa ana de yacuma,-13.75,-65.4333,24.97,33,16,3.09,BO,1723390229
139,kenai,60.5544,-151.2583,10.08,99,100,3.09,US,1723390230
140,tofol,5.3248,163.0078,28.01,75,46,2.78,FM,1723390231
141,qarqaraly,49.4058,75.4742,15.37,53,100,2.3,KZ,1723390232
142,kruisfontein,-34.0033,24.7314,12.92,66,70,9.15,ZA,1723390233
